familyLanguage	nc_sim	nc_sim_credI	nc_ident	nc_ident_credI	feat_sim	feat_sim_credI	feat_ident	feat_ident_credI
indo-european_ukrainian	0.119	[ -0.891 ,  1.018 ]	0.429	[ -0.041 ,  0.983 ]	0.119	[ -0.891 ,  1.018 ]	0.429	[ -0.041 ,  0.983 ]
indo-european_welsh	0.095	[ -0.826 ,  0.936 ]	0.36	[ -0.138 ,  0.871 ]	0.095	[ -0.826 ,  0.936 ]	0.36	[ -0.138 ,  0.871 ]
indo-european_western.farsi	0.396	[ -0.565 ,  1.299 ]	0.368	[ -0.13 ,  0.89 ]	0.396	[ -0.565 ,  1.299 ]	0.368	[ -0.13 ,  0.89 ]
japonic_japanese	0.368	[ -0.538 ,  1.38 ]	0.394	[ -0.105 ,  0.949 ]	0.368	[ -0.538 ,  1.38 ]	0.394	[ -0.105 ,  0.949 ]
kartvelian_georgian	0.241	[ -0.808 ,  1.228 ]	0.369	[ -0.178 ,  0.916 ]	0.241	[ -0.808 ,  1.228 ]	0.369	[ -0.178 ,  0.916 ]
koreanic_korean	0.328	[ -0.624 ,  1.235 ]	0.352	[ -0.169 ,  0.857 ]	0.328	[ -0.624 ,  1.235 ]	0.352	[ -0.169 ,  0.857 ]
mongolic_buryat	0.386	[ -0.494 ,  1.296 ]	0.486	[ -0.001 ,  1.087 ]	0.386	[ -0.494 ,  1.296 ]	0.486	[ -0.001 ,  1.087 ]
mongolic_kalmyk	0.348	[ -0.481 ,  1.184 ]	0.252	[ -0.295 ,  0.744 ]	0.348	[ -0.481 ,  1.184 ]	0.252	[ -0.295 ,  0.744 ]
mongolic_khalkha.mongolian	-0.137	[ -1.266 ,  0.757 ]	0.441	[ -0.05 ,  1.018 ]	-0.137	[ -1.266 ,  0.757 ]	0.441	[ -0.05 ,  1.018 ]
nakh-daghestanian_avar	0.514	[ -0.437 ,  1.482 ]	0.375	[ -0.131 ,  0.925 ]	0.514	[ -0.437 ,  1.482 ]	0.375	[ -0.131 ,  0.925 ]
nakh-daghestanian_chechen	1.345	[ 0.45 ,  2.489 ]	0.107	[ -0.526 ,  0.637 ]	1.345	[ 0.45 ,  2.489 ]	0.107	[ -0.526 ,  0.637 ]
